序号,单词,注音,释义
1511,fix ,fiks, vt. & vi.使固定 决定 修理 准备 n.困境 (船只、飞机等的)定方位 贿赂
1512,flag ,flæg, n.旗 旗帜 旗标 信号旗 旗舰旗 vt.打旗号 vi.无力地下垂 减退
1513,flame ,fleim, n. 火焰 火舌 鲜红色 光辉 恋人 怀念 辱骂信息 热情 vi. 焚烧 爆发 面红 发辱骂信息 vt. 用烟火发信号 用火对待 发辱骂信息
1514,flare ,flɛə, vi.闪耀 闪光 vt.使闪亮 n.闪光 闪耀 [天] 耀斑
1515,flash ,flæʃ, n. 闪光 闪现 闪烁物 花哨 一瞬间 电脑动画技术 vi. 闪 闪现 闪烁 vt. 传送 用光联络 流露出 adj. 花哨的 炫耀的 昙花一现的
1516,flat ,flæt, adj.平的 扁平的 平坦的 单调的 adv.平直地 干脆地 n.一套房间 单元住宅 [英] 公寓 vt.变平 vi.降调
1517,flavour ,'fleivə, n.味 味道 风味 香味 vt给...加味
1518,fleet ,fli:t, n.舰队 船队 团队 机群 vt. & vi.飞过 掠过 adj.跑得快的
1519,flesh ,fleʃ, n.肉 肌肉 肉体 人性 vt.用肉喂 赋予血肉 使长肉 vi.变胖
1520,flexible ,'fleksəbl, adj.易弯曲的 灵活的 柔韧的 可变通的
1521,flight ,flait, n.航班 飞行 逃跑 航程 (鸟等)群 奇思妙想 一段楼梯 vi.滑行 vt.冲
1522,float ,fləut, vi. 漂浮 游荡 飘 vt. 使漂浮 提出 开办新公司 洽谈 n. 漂流物 装有轮子的展台或平板车 企业的日常零钱
1523,flock ,flɔk, n.羊群 群 大量 信众 软填料 短绒 棉絮 毛屑 vt.塞填充料 vi.成群而行 聚集
1524,flood ,flʌd, n.洪水 水灾 vt. & vi.灌溉 淹没 泛滥
1525,floor ,flɔ:, n.地板 楼层 底部 地面 议员 底线 vt.铺地板 击倒 油门踩到底
1526,flour ,flauə, n.面粉 粉 粉状物质 vt. & vi.研成粉末
1527,flourish ,'flʌriʃ, vi.繁荣 茂盛 兴旺 活跃 手舞足蹈 vt.挥舞 n.挥舞 华丽词藻 茂盛 兴旺 炫耀
1528,flow ,fləu, vi.流动 飘垂 涨潮 顺利进行 来 vt.使流动 淹没 n.流 水流 循环 顺畅 涨潮
1529,flower ,'flauə, n.花 花卉 开花 华丽 盛年 精英 自然发展的结果 vi.成熟。开花 vt.使开花 用花装饰
1530,flu ,flu:, n.流行性感冒
1531,fluent ,'flu:ənt, adj.流利的 流畅的
1532,fluid ,'flu:id, n.流体 液体 adj.流畅优美的 流体的 流动的 不稳定的
1533,flush ,flʌʃ, vi.奔流 (脸)发红 冲刷 旺盛成长 vt.用水冲洗 惊起(一群鸟) 抄...老窝 使兴奋 adj.丰足的 齐平的 满盈的 adv.正直地 羞涩地 n.流溢 面红 旺盛 冲水(尤指冲马桶) 突然萌发 (纸牌)同花顺 清一色 [计算机] 冲洗
1534,fly ,flai, n.蝇 苍蝇 两翼昆虫 飞行 升高 vt. & vi.飞行 飞翔 逃走 飞逝 猛然移动
1535,focus ,'fəukəs, vi.聚焦 注视 集中 聚集 使集中 n.焦点 焦距
1536,fog ,fɔg, n.雾 烟雾 尘雾 朦胧 喷雾 迷惑 vt. & vi.以雾笼罩 使模糊 迷惑
1537,fold ,fəuld, vt.折叠 合拢 包 交叉 拥抱 vi.翻倍 彻底失败 倒闭 n.褶 折层 折痕 羊栏 羊群
1538,folk ,fəuk, n.人们 家属 亲属 adj.民间的
1539,follow ,'fɔləu, vt.跟随 沿行 遵循 听得懂 结果是 vi.跟着做 之后是 n.跟随
1540,following ,'fɔləuiŋ, adj.接着的 下列的 其次的 prep.在(某事)以后 n.下列各项 部下 党羽
1541,fond ,fɔnd, adj.喜爱的 溺爱的 愚蠢的 渴望的 n.基础
1542,food ,fu:d, n.食物 食品 养料
1543,fool ,fu:l, n.蠢人 傻子 受骗者 vt.欺骗 愚弄 vi.干傻事 开玩笑 adj.愚蠢的
1544,foolish ,'fu:liʃ, adj.愚蠢的 鲁莽的 荒谬的 可笑的
1545,foot ,fut, n.脚 最下部 英尺 山脚 最底部 一步长 音步 进程 vi.跳舞 步行 vt.表演舞步 付账 踩踏 结算
1546,football ,'futbɔ:l, n.足球比赛 足球 橄榄球
1547,footstep ,'futstep, n.脚步 脚步声 足迹
1548,for ,fɔ:, prep.为 给 因为 关于 代表 支持 往 conj.因为
1549,forbid ,fə'bid, vt.禁止 不许 阻止 妨碍
1550,forbid ,fə'bidn, adj.被禁止的
1551,force ,fɔ:s, vt.强迫 施暴 强夺 加压力 [计算机] 强制 n.力 力量 武力 暴力 影响力
1552,forecast ,'fɔ:kɑ:st, n.预测 预报 vt. & vi.预示 预测
1553,forehead ,'fɔ:hed, n.额头 前部
1554,foreign ,'fɔrin, adj.外国的 外来的 外交的 不相关的
1555,foreigner ,'fɔ:rinə, n.外国人
1556,foremost ,'fɔ:məust, adj.最初的 第一流的 adv.在最前面
1557,forest ,'fɔrist, n.森林 森林地带 园林 林火 vt.用树林覆盖 植树
1558,forever ,fə'revə, adv.永远 总是 老是 n.漫长时间
1559,forget ,fə'get, vt. & vi.忘记 遗忘 忽略
1560,forgive ,fə'giv, vt. & vi.原谅 饶恕 宽恕
1561,fork ,fɔ:k, n.餐叉 叉 叉状物 vt. & vi.叉起 耙 成叉状
1562,form ,fɔ:m, n.形式 形状 表格 vt.形成 组成 建立
1563,formal ,'fɔ:məl, adj.正式的 礼仪上的 形式的 拘谨的 n.正式(活动)
1564,formation ,fɔ:'meiʃən, n.形成 构成 形成物 编队
1565,former ,'fɔ:mə, adj.在前的 以前的 前任的 n.前者 形成的原因
1566,formula ,'fɔ:mjulə, n.公式 式 配方 规则 代乳品 adj.(赛车的)级的 方程式的
1567,forth ,fɔ:θ, adv.向前 向外 往外 露出
1568,fortnight ,'fɔ:tnait, n.两星期 十四天
1569,fortunate ,'fɔ:tʃənit, adj.幸运的 侥幸的
1570,fortunately ,'fɔitʃənitli, adv.幸运地 幸亏
1571,fortune ,'fɔ:tʃən, n.命运 运气 财产
1572,forty ,'fɔ:ti, num. & adj.四十 第四十 pron.四十(个 只...)
1573,forward ,'fɔ:wəd, adv.向前 今后 往后 adj.向前的 早的 迅速的 前锋 v.转交 促进 运送
1574,found ,faund, vt.创立 创办 建立 打地基 铸造 vbl.寻找(find的过去分词) adj.装备完善的 n.食宿
1575,foundation ,faun'deiʃən, n.基础 根据 建立 地基 基金
1576,fountain ,'fauntin, n.泉水 喷泉 源泉 储水容器 vt. & vi.使像喷泉一样流
1577,four ,fɔ:, num.四 四个 第四 fourteen num.十四 第十四
1578,fourth ,fɔ:θ, num.第四 四分之一 n.四分之一
1579,fox ,fɔks, n.狐狸 狡猾的人 v.奸狡地行动
1580,fraction ,'frækʃən, n.小部分 片断 分数 破片
1581,fragment ,'frægmənt, n.碎片 破片 碎块 vt. & vi.变成碎片 [计算机] 碎片
1582,frame ,freim, n.框架 框子 构架
1583,framework ,ˈfreɪmwɜ:k,n.框架 构架 结构 骨架 v.构成 把...框起来 陷害 adj.木结构的
1584,France ,frɑ:ns, n.法国 法兰西
1585,frank ,fræŋk, adj.坦白的 直率的 无误的 vt.免费邮寄 使自由出入 n.免费邮寄
1586,free ,fri:, adj.自由的 空闲的 大方的 免费的 vt.释放 解放 adv.自由地 免费地
1587,freedom ,'fri:dəm, n.自由 自主
1588,freely ,'fri:li, adv.自由地 免费地 直率地 大量地
1589,freeze ,fri:z, vi.冻 结冻 冷动 僵硬 [计算机] 冻结 vt.使结冰
1590,freight ,freit, n.货运 货物 运费 船货 vt.装货 运送 使充满(某种心情或口气)
1591,French ,frentʃ, adj.法国(人)的 法语的 n.法国人 法语 vt.剁肉 蔬菜切成长条
1592,frequency ,'fri:kwənsi, n.屡次 次数 频率 频繁
1593,frequent ,'fri:kwənt, adj.时常发生的 经常的 频繁的 vt.常到 常去
1594,frequently ,'fri:kwəntli, adv.时常 常常 经常地 频繁地
1595,fresh ,freʃ, adj.新的 新鲜的 无经验的 淡(水)的 精神饱满的 纯洁无瑕的 生动的 adv.最近地 n.涌流
1596,friction ,'frikʃən, n.摩擦 摩擦力 分歧
1597,Friday ,'fraidi, n.星期五
1598,fridge ,fridʒ, n.电冰箱
1599,friend ,frend, n.朋友 友人 赞助者 支持者 vt.做朋友 对人友好
1600,friendly ,'frendli, adj.友好的 友谊的 adv.友好地 n.友好者
1601,friendship ,'frendʃip, n.友谊 友好
1602,frighten ,'fraitən, vt.使惊恐 吓唬 惊恐
1603,frog ,frɔg, n.蛙 马的蹄叉 刀剑的挂环
1604,from ,frɔm, prep.从...来 离开
1605,front ,frʌnt, adj.前面的 n.前部 前面 开头 前线 vt.面对 朝向 对付 vi.面朝 做掩护
1606,frontier ,'frʌntjə, n.边境 边界 边疆 新领域 尖端 边缘
1607,frost ,frɔst, n.冰冻 严寒 霜 冷漠 vt. & vi.覆着霜 冻结 结霜
1608,frown ,fraun, vt. & vi.皱眉 蹙额 不同意 n.皱眉 不悦
1609,fruit ,fru:t, n.水果 果实 成果 vt. & vi.结果实
1610,fruitful ,'fru:tfəl, adj.多产的 肥沃的 富有成效的
1611,fry ,frai, vt.油煎 油炸 油炒 炸焦 vi.油炸 烧焦 n.(美)法式炸薯条
1612,fuel ,'fjuəl, n.燃料 木炭 vt.给...加燃料 vi.加燃料
1613,fulfil ,ful.fil, vt.履行 满足 完成 实践 使应验
1614,full ,ful, adj. 满的 完全的 充满的 丰富的 adv. 完全地 整整 vt. 使...充满 通过缩水、捶打或熨烫增加(布料的)重量和厚度 vi. 增厚 n. 全部 十分 极点 鼎盛
1615,fun ,fʌn, n.乐趣 娱乐 玩笑 有趣的人或事物 vi.开玩笑 adj.充满乐趣的 令人愉悦的
1616,function ,'fʌŋkʃən, n.功能 职务 函数 重大聚会 vi.运行 起作用
1617,fund ,fʌnd, n.资金 基金 存款 储备 vt.为...提供资金
1618,fundamental ,.fʌndə'mentl, adj.基础的 基本的 根本的 重要的 n.基本原理 基础
1619,funeral ,'fju:nərəl, n.葬礼 丧礼 丧葬 adj.葬礼(的)
1620,funny ,'fʌni, adj.古怪的 滑稽的 有趣的 莫名其妙的 n.笑话 (the funny)滑稽戏
1621,fur ,fə:, n.软毛 毛皮 裘皮 毛皮服饰 毛皮制品 vt.用毛皮制作 用毛皮盖于 vi.用毛皮制的
1622,furious ,'fjuəriəs, adj.狂怒的 狂暴的 猛烈的
1623,furnace ,'fə:nis, n.炉子 熔炉 鼓风炉 闷热地带 严峻考验
1624,furnish ,'fə:niʃ, vt.供应 提供 装备 布置
1625,furniture ,'fə:nitʃə, n.家具 装置 设备
1626,further ,'fə:ðə, adv.更远地 此外 进一步地 adj.更远的 v.促进 推动 vt.促进
1627,furthermore ,'fə:ðə'mɔ:, adv.而且 此外
1628,future ,'fju:tʃə, n.将来 未来 前途 前程 期货 adj.将来的
1629,gain ,gein, vt.获得 得到 增进 增加 vi.增加 得到 (钟 表等)走得快 n.增进 增益 获得 利润
1630,gallery ,'gæləri, n.长廊 游廊 画廊 美术馆 顶层楼座 狭长的房间
1631,gallon ,'gælən, n.加仑(容量单位)
1632,game ,geim, n.游戏 比赛 猎物 行业 非法手段 策略 野味 戏弄 vi.赌博 vt.欺骗 adj.乐意做的 勇敢的 跛的
1633,gang ,gæŋ, n.一帮 一伙 队 群 帮 vt. & vi.结一组 联合在一起
1634,gap ,gæp, n. 缺口 间隔 差距 (意见、个性等的)差异 缝隙 漏洞 vt. 制造缺口 嘉普 ( 财富500强公司之一 总部所在地美国 主要经营服装零售)
1635,garage ,'gærɑ:ʒ, n.车库 加油站 汽车修理厂vt.把...放入车库
1636,garbage ,'gɑ:bidʒ, n.垃圾 污物 废料 废物 食物残渣
1637,garden ,'gɑ:dn, n. 花园 菜园 果园 菜园 草地 公园 vi. 栽培花木 从事园艺工作 vt. 造园 以花园装饰 adj. 花园的 园艺的 绿化的 平凡的
1638,gardener ,'gɑ:dnə, n.园丁 花匠 园艺家
1639,gas ,gæs, n.煤气 气体 汽油 空话 能量 vt.使吸入毒气 死 给...加汽油 vi.空谈 加汽油
1640,gaseous ,'gæsiəs, adj.气体的 气态的
1641,gasoline ,'gæsəli:n, n.(美)汽油
1642,gasp ,gɑ:sp, vi.气喘 喘息 v.喘气 喘息 渴望
1643,gate ,geit, n.大门 入口 篱笆门 vt.<英>惩罚(禁止学生离校) 解雇 n.<古>道路 <方>方式 suf.常表示政治丑闻
1644,gather ,'gæðə, vi.聚集 集合 渐增 vt.收集 使聚集 推断 鼓起 n.集合 聚集
1645,gauge ,geidʒ, vt.量 测量 估计 判断 n.测量标准 轨距 口径 直径 测量仪器
1646,gay ,gei, adj.快乐的 欢快的 鲜明的 色彩鲜艳的 同性恋的 n.同性恋
1647,gaze ,geiz, vi.凝视 盯 注视 n.凝视
1648,general ,'dʒenərəl, adj.总的 一般的 普遍的 全体的 n.将军 一般 大体
1649,generally ,'dʒenərəli, adv.一般地 通常地
1650,generate ,'dʒenəreit, vt.发生 产生 引起 生殖 [计算机] 产生
1651,generation ,.dʒenə'reiʃən, n.一代 一代人 产生
1652,generator ,'dʒenəreitə, n.发电机 发生器 发生者
1653,generous ,'dʒenərəs, adj.慷慨的 宽厚的 宽宏大量的 丰盛的 味浓的
1654,genius ,'dʒi:njəs, n.天才 天赋 天资 高智力
1655,gentle ,'dʒentl, adj. 和蔼的 轻柔的 显赫的 温和的 文雅的 有教养的 n. 贵族 vt. 使显赫 使温顺 抚摸 使缓和 vi. 变温顺
1656,gentleman ,'dʒentlmən, n.绅士 先生 有教养的人
1657,gently ,'dʒentli, ad.有礼貌地 柔和地 轻轻地 温柔地
1658,genuine ,'dʒenjuin, adj.真的 真正的 真实的 诚恳的
1659,geography ,dʒi'ɔgrəfi, n.地理 地理学
1660,geometry ,dʒi'ɔmitri, n.几何 几何学
1661,germ ,dʒə:m, n.微生物 细菌 幼芽
1662,German ,'dʒə:mən, adj.德国(人)的 德语的 日耳曼的 n.德国人 德语 日耳曼人
1663,Germany ,'dʒə:məni, n.德意志 德国
1664,gesture ,'dʒestʃə, n.姿势 手势 姿态 vt. & vi.作手势表达
1665,get ,get, vi. 变得 成为 到达 致富 能够 离开 vt. 得到 准备 抓住 克服 激怒 使得 记忆 沟通 n. 生育 后代 救球
1666,ghost ,gəust, n.鬼 灵魂 幽灵 鬼魂 一丝 vt. & vi.像(鬼一样)地行进
1667,giant ,'dʒaiənt, n.巨人 伟人 巨大的东西 adj.巨大的
1668,gift ,gift, n.礼物 赠品 天赋 赋予 vt.赠送 赋予
1669,girl ,gə:l, n.女孩子 姑娘 女儿
1670,give ,giv, vt.做 作 送给 vi.让步 塌下 折断 弯曲
1671,glad ,glæd, adj.高兴的 乐意的 v.<古>使高兴 n.剑兰
1672,glance ,glɑ:ns, vi.看一下 瞥闪 瞥见 反光 浏览 vt.瞥见 反光 n.一瞥 闪光 一滑
1673,glare ,glɛə, vi.瞪眼 发眩光 n.瞪眼 闪耀光 刺眼
1674,glass ,glɑ:s, n. 玻璃 玻璃杯 玻璃器皿 窗户 (复)眼镜 透镜 vt. 用玻璃把…盖(或罩、围)住 给...装上玻璃 使成玻璃状 反映 反射 审视 vi. 成为玻璃状 用光学仪器眺望
1675,glide ,glaid, vi.滑动 滑翔 溜走 消逝 n.滑行 滑动 滑过 流水
1676,glimpse ,glimps, vt. &vi.瞥见 一瞥 闪烁 n.一瞥 一看 一闪
1677,glitter ,'glitə, vi.闪闪发光 灿烂 闪烁 辉耀 n.闪光 灿烂 闪烁 辉耀
1678,globe ,gləub, n.地球 世界 地界仪 球体
1679,gloomy ,'glu:mi, adj.黑暗的 阴暗的 令人沮丧的 抑沉的 忧闷的
1680,glorious ,'glɔ:riəs, adj.光荣的 壮丽的 辉煌的
1681,glory ,'glɔ:ri, n.光荣 荣誉 壮丽 赞颂 荣誉的事 vi.为...而骄傲自豪 interj.用于表示惊叹
1682,glove ,glʌv, n.手套 vt.给...戴手套
1683,glow ,gləu, n.白热光 赤热 光辉 热情 vi.发白热光 发红光 红光焕发
1684,glue ,glu:, n.胶 胶水 粘性之物 vt.胶合 粘 紧附于...
1685,go ,gəu, vi.去 走 变为 进行 放 通往 消失 vt.走过 称重 [计算机] 执行
1686,goal ,gəul, n.球门 得分 目的 终点
1687,goat ,gəut, n.山羊 好色之徒 替罪羔羊
1688,God ,gɔd, n.神 神像 上帝 偶像 vt.像对神一样崇拜
1689,gold ,gəuld, n.金 金子 金币 金黄色 金牌 钱财 adj.金制的 金色的
1690,golden ,'gəuldən, adj.金(黄)色的 极好的
1691,golf ,gɔlf, n.高尔夫球 v.打高尔夫球 vi.(打)高尔夫球
1692,good ,gud, adj.好的 优良的 上等的 有本事的 n.善行 好处 [pl.] 商品
1693,goodbye ,.gud'bai, int.再见 再会 n.说再见
1694,goodness ,'gudnis, n.优良 德性 仁慈 善良 美德 精华 int.天哪
1695,goods ,gudz, n.货物 商品
1696,goose ,gu:s, n.鹅 雌鹅 鹅肉 vt.推动
1697,govern ,'gʌvən, vt.统治 治理 支配 管理 规定 vi.统治 执行
1698,government ,'gʌvənmənt, n.政府 政体 统治 治理 政治
1699,governor ,'gʌvənə, n.州长 主管人员 统治者 管理者 理事
1700,gown ,gaun, n.长袍 长外衣
1701,grace ,greis, n.优美 文雅 雅致 魅力 恩惠 慈悲 vt.使荣耀 装饰
1702,graceful ,'greisfəl, adj.优美的 优雅的
1703,gracious ,'greiʃəs, adj.有礼貌的 仁慈的 亲切的 高尚的
1704,grade ,greid, vt. & vi.给...分等级 记成绩 n.等级 年级 阶段
1705,gradual ,'grædjuəl, adj.逐渐的 渐进的
1706,gradually ,'grædjuəli, adv.逐渐地 逐步地
1707,graduate ,'grædjueit, n. 毕业生 vi. 大学毕业 获学位 逐渐变得 vt. 毕业 (在表、计、尺上)刻 [分] 度 定等级 adj. 毕业的 获得学位的
1708,grain ,grein, n.谷物 谷粒 颗粒 细粒 纹理 vt.用谷物喂养 形成颗粒
1709,gramme ,græm, n.克(重量单位) =gram
1710,grammar ,'græmə, n.语法 语法书
1711,grammatical ,grə'mætikəl, adj.语法上的 合乎文法的
1712,grand ,grænd, adj.宏伟的 重大的 豪华的 壮丽的 主要的 n.大钢琴
1713,granddaughter ,'græn.dɔ:tə, n.孙女 外孙女
1714,grandfather ,'grænd.fɑ:ðə, n.祖父 外祖父
1715,grandmother ,'grænd.mʌðə, n.祖母 外祖母
1716,grandson ,'grændsʌn, n.孙子 外孙子
1717,grant ,grɑ:nt, n.授给物 补助金 同意 给予 财产转让 vt.授予 同意 承认 
1718,Grant ,grɑ:nt, n.格兰特(男子名)
1719,grape ,greip, n.葡萄 葡萄藤 [色彩]深紫色 [军事]葡萄弹
1720,graph ,"græf,grɑ:f", n.(曲线)图 图表 vt.以(曲线)图表示
1721,grasp ,grɑ:sp, vt.抓紧 抓住 紧握 掌握 领会 n.抓 把握 抓紧 领会
1722,grass ,grɑ:s, n.草 牧草 草地 vt.以牧草喂养 覆盖着草
1723,grateful ,'greitfəl, adj.感激的 感谢的 令人愉快的
1724,gratitude ,'grætitju:d, adj.感激 感谢 感恩 n.感恩之心
1725,grave ,greiv, n.坟墓 沉音符 adj.严肃的 严重的 低沉的 adv.缓慢庄严的 vt.凿
1726,gravity ,'græviti, n.重力 引力 严重性 严重 庄重 严肃
1727,gray ,grei, adj.灰色的 阴沉的 黯淡的 n.灰色 v.变灰色 [Gray] 格雷(男子名)
1728,great ,greit, adj.大的 伟大的 大量的 很好的 美好的 重要的 adv.(口语)好极了
1729,greatly ,'greitli, adv.大大地 非常 很
1730,greedy ,'gri:di, adj.贪吃的 贪婪的
1731,Greek ,gri:k, adj.希腊(人)的 n.希腊人 希腊语
1732,green ,gri:n, adj.绿色的 长满绿草的 温和的 未成熟的 n.绿色 vt. & vi.变得绿
1733,greenhouse ,'gri:nhaus, n.温室 玻璃暖房
1734,greet ,gri:t, vt.问候 招呼 反应 致敬 欢迎 映入眼帘
1735,greeting ,'gri:tiŋ, n.问候 招呼 致敬
1736,grey ,grei, adj.灰色的 n.灰色 vi.变成灰色 =gray
1737,grieve ,gri:v, vt.使悲痛 vi.悲痛
1738,grind ,graind, vt.磨(碎) 碾 磨快 挤摩擦声 无聊的苦工作 vt.磨 碾 挤压 摇动手柄 vi.磨擦 磨碎 用功
1739,grip ,grip, vt.握紧 抓牢 吸引 n.紧握 了解 手柄 手提包
1740,groan ,grəun, vi.哼 呻吟 n.呻吟
1741,grocer ,'grəusə, n.食品商 杂货商
1742,grocery ,'grəusəri, n.食品杂货店
1743,gross ,grəus, adj.总的 粗鲁的 严重的 过胖的 n.总量 vt.总共赚得
1744,ground ,graund, n.土地 战场 场地 根据 背景 vt.放在地上 使...搁浅 打基础 grind的过去式和过去分词
1745,group ,gru:p, n.小组 群 团 团体 vt. & vi.聚合 成群 聚集 [计算机] 成组
1746,grow ,grəu, vt. & vi.生长 变得 变成 增长 种植 逐渐开始
1747,growth ,grəuθ, n.增长 增长量 生长 生长物
1748,guarantee ,.gærən'ti:, n.保证(书) 担保(书) 担保人 担保物 抵押品 vt.保证 担保
1749,guard ,gɑ:d, vt. & vi.守卫 看守 保卫 警惕 n.卫兵 守卫者 警戒 护卫队 保护
1750,guess ,ges, vt. &vi. &n.猜测 推测 猜想
1751,guest ,gest, n.客人 宾客 旅客 客串演员 特邀来宾 vt.款待 vi.作客
1752,guidance ,'gaidəns, n.引导 指导 领导 导航系统
1753,guide ,gaid, n.导游者 领路者 指南 路标 vt.给...导游 领路 指导 vi.作导游
1754,guilty ,'gilti, adj.内疚的 有罪的
1755,gulf ,gʌlf, n.海湾
1756,gum ,gʌm, n.口香糖 树胶 橡皮(糖) 齿龈 粘性物质 牙床 vt.搞砸 用牙床嚼 以树胶粘合 vi.形成胶质 发粘
1757,gun ,gʌn, n.枪 炮 手枪
1758,gunpowder ,'gʌn.paudə, n.黑色火药 有烟火药
